"","user_id","os","fx_version","pilot_ver","num_extensions","r_fx_use","r_other_browser_use","r_primary_browser","r_gender","r_age","r_time_on_web","skill","other_browser","r_place","smartphone","reason_web_use","freq_website","news","bookmarks","folders","folder_max_depth","bookmark_status_first","bookmark_status_last","bookmark_status_records","bookmark_choose_first","bookmark_choose_last","bookmark_choose","history_items","history_status_first","history_status_last","history_status_records","num_windows","num_tabs","num_tabs_records","private_on_first","private_on_last","private_on_records","profile_age_oldest","profile_age_first","profile_age_last","profile_age_records"
"20",1417,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",9,5,0,"0",0,1,3,9,NA,"0|1|2|3","0","0|1|2|3|4|5|6","0|1|3|7|8","0|3",42.3333333333333,1,1,246896802,834124384,30,305039222,832131362,17,17546.9333333333,246893957,834121300,30,0.947712418300654,1.7483660130719,306,330510639,829510937,5,"2009-12-02",246894060,834121310,30
"21",1429,"WINNT Windows NT 6.0","4.0b6","1.0.1",19,4,1,"1",0,0,1,8,"1|2|3|<freeform-text removed>","0|3|<freeform-text removed>","0|2","2|4|5|6","0|3|4|5|7|8","1|2|3|4|5",79.5263157894737,6,1,339932234,780843908,19,340111389,778423074,7,403.789473684211,339925930,780840541,19,1.22727272727273,2.61363636363636,264,506147804,687926381,2,"2005-07-05",339928448,780841050,19
"22",1547,"WINNT Windows NT 6.1; WOW64","4.0b7","1.0.3",15,6,1,"1",0,0,4,10,"0|1|2|3","0|2","7","0|2|4","0|1|3|4|7","3|5",13.3243243243243,1.18918918918919,1,412070196,941933186,37,426420239,941235819,137,767.459459459459,412067579,941933079,37,1.00678541136556,5.10856658184902,1179,941989612,941989612,1,"2010-11-04",412067674,941933183,37
"23",1624,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",44,6,1,"2",0,2,6,10,"0","0|1|3","0","1|3|4|5|6","0|2|3|6|7|12","1|5",309.2,35.84,4,282603089,839255863,25,282889947,847532488,273,8808.16,282600176,839252693,25,1.0625386996904,6.57275541795666,1615,395743135,395743135,1,"2009-07-24",282600382,839252827,25
"24",1684,"WINNT Windows NT 6.0","4.0b6","1.0.3",14,6,1,"1",0,0,2,9,"0","0|1|2|3","2","2|3|4|5|6","0|1|2|3|4|7|8|9|12","0|1|3",57,6,1,259743267,812847289,20,259877588,812871301,89,56212.5,259742131,812846283,20,1,1.3491124260355,169,435363698,677979431,3,"2008-12-02",259742213,812846344,20
"25",1688,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",10,6,1,"1",0,1,5,9,"0|3","0|1|2|3","0","0|2|3|4|5|6","0|1|3|7|8","1|3|5",34,8,2,261998799,849258286,51,264915135,869770708,55,14327.9411764706,261996898,849256168,51,0.862275449101796,1.6377245508982,334,795639099,846943154,2,"2009-12-22",261996944,849256208,51
"26",1697,"WINNT Windows NT 6.1","4.0b6","1.0.3",17,5,0,"0",0,1,3,8,NA,"0","7","6","0|4|9|10","1",327.217391304348,55.9130434782609,5,287057484,841744620,23,841766521,841854677,2,6.73913043478261,287057211,841742748,23,0.976076555023923,4.39593301435407,836,330167502,841903899,12,"2010-04-01",287057276,841744281,23
"27",1717,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",8,5,0,NA,0,1,2,7,NA,"0|2","7","2|3|4|5|6","1|9","3",88,4,1,249377963,834566934,67,250277214,841685844,407,8263.07462686567,249377697,834566793,67,1.01255514082117,5.71869697997964,2947,313930375,594739513,3,"2010-04-14",249377717,834566825,67
"28",1755,"Darwin Intel Mac OS X 10.6","4.0b6","1.0.3",9,6,1,"3",0,1,3,9,"0|1|<freeform-text removed>","0|2","<freeform-text removed>","2|4|5|6","0|2|3|4|7|8|10","0|1",725.536231884058,46.5797101449275,4,253336992,798516464,69,314405340,801331063,133,11807.6231884058,253336899,798516370,69,0.951923076923077,0.740384615384615,312,525518950,525518950,1,"2010-07-02",253336902,798516372,69
"29",1795,"Darwin Intel Mac OS X 10.6","4.0b6","1.0.3",13,6,0,"0",0,1,6,7,NA,"0|2|3","0","2|3|4|5|6","1|2|4|5|6|7|8|9|10","1",19.6857142857143,5,1,330897000,843087714,35,501140674,590969397,2,665.371428571429,330896717,843087656,35,1.01334951456311,12.2293689320388,824,577565786,707963458,3,"2010-09-09",330896719,843087658,35
"30",1887,"WINNT Windows NT 5.1","4.0b6","1.0.3",4,5,1,"1",0,1,4,6,"3","0|1","2","1|4|5|6","0|3|6|8","0|5",52.0810810810811,5.18918918918919,1,272048815,837128665,37,272083031,842578789,395,1607.72972972973,272045765,837124191,37,1.06459525756337,4.1807031888798,1223,357813329,800261977,5,"2010-10-22",272045897,837124342,37
"31",2298,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",6,4,0,"0",0,1,4,6,NA,"2","7","2|4|5|6","0|1|3|8","3|5",54.4090909090909,4,1,336451793,848324602,66,336791460,842897386,141,7390.40909090909,336448578,848322603,66,0.929640718562874,2.3622754491018,668,344756391,580083031,12,"2010-04-01",336448605,848322902,66
"32",2403,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",5,6,0,"0",0,2,3,NA,NA,"0|1","1","0|1|4|5","0|2|3|12","0|1",241.058823529412,10,2,370193460,888193223,17,370499287,894895518,399,14207.7058823529,370190191,888189285,17,1.04810996563574,3.53264604810997,1164,757286316,894968831,3,"2010-01-16",370190330,888189500,17
"33",2476,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",15,6,1,"1",0,2,3,10,"1|3","0|1|3","0","0|1|3|4|5|6","0|2|3|9","0|1|5",205,27,3,317788940,841418171,17,317853722,557052361,59,5049.11764705882,317788765,841417968,17,1.0175,3.03,400,335613843,335613843,1,"2004-12-31",317788779,841417980,17
"34",2514,"WINNT Windows NT 6.1","4.0b7","1.0.3",14,3,1,"5",0,1,6,6,"3","0","7","0|1|2|3|4|5|6","0|1|3|7|9","0|1|5",87.0384615384615,1,1,253564596,823450165,26,253570651,818885271,130,17137.1153846154,253564279,823449912,26,1.01579325197416,3.80617372577172,1393,631757447,632903392,2,"2010-07-22",253564289,823449924,26
"35",2648,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",17,6,0,"0",0,1,3,8,NA,"0|2","7","1|2|3|4|5|6","0|1|2|3|8","1|3|5",132,3,1,250773051,832948715,18,251601026,824455735,110,18604.3333333333,250770247,832945897,18,0.977973568281938,9.73421439060206,681,487572455,824528742,2,"2010-07-22",250770276,832945904,18
"36",2652,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",11,6,1,"1",0,1,3,8,"3","0|2|3","1","2|5|6","2|3|6|8|9","0",166.045454545455,17,2,270454365,836502747,44,270614762,841657990,448,32590.3409090909,270454113,836502503,44,1.00386597938144,2.80455326460481,2328,433217382,433217382,1,"2009-12-21",270454124,836502512,44
"37",2780,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",5,6,1,"1",0,1,3,9,"3","0|2|3","1","0|2|4|5","0|2|3|8|9","<freeform-text removed>",475,136.071428571429,5,304049152,838489811,42,304219886,839583534,287,12313.2619047619,304048985,838489653,42,0.991218441273326,4.00109769484083,911,389698074,672487823,2,"2010-07-23",304048990,838489657,42
"38",2831,"WINNT Windows NT 6.1","4.0b6","1.0.3",2,6,0,NA,0,0,1,9,NA,"0|2","7","0|2|3|4|6","0|1|4|7|8|9","2",7.94736842105263,1,1,307892927,831027236,19,309931579,637723233,3,1038,307890928,831017836,19,1.09287257019438,2.18358531317495,463,481907514,796911380,11,"2010-10-21",307891129,831018084,19
"39",2865,"WINNT Windows NT 6.1","4.0b6","1.0.3",10,6,1,"1",0,2,4,9,"3","0|1|3","1","0|4|6","2|3|8","0|1",272,33,3,326741278,881037353,12,328023401,841865478,15,1504.83333333333,326738984,881033125,12,1.09090909090909,3.26223776223776,286,411863796,852269362,7,"2010-01-16",326739120,881033282,12
"40",2926,"Darwin Intel Mac OS X 10.6","4.0b6","1.0.3",14,6,1,"1",0,3,4,7,"1|3","0|1","7","1|3|4|6","0|2|5|6|10","0|1",645,109,2,759789461,770748948,3,760401650,771011410,3,5.66666666666667,759789292,770747932,3,0.705882352941177,0.647058823529412,17,763215384,763215384,1,"2005-07-24",759789298,770747943,3
"41",2937,"WINNT Windows NT 6.1","4.0b6","1.0.3",6,3,1,"1",0,1,4,8,"1|2|3","0|3","<freeform-text removed>","4|6","0|1|2|3|4|7|8|9","0|4|5",60.6829268292683,4,2,270054816,833668409,41,270065965,835679831,61,24622.8048780488,270052086,833665413,41,0.977326968973747,6.35799522673031,838,704014160,704014160,1,"2010-01-16",270052293,833665429,41
"42",3154,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",17,6,0,"0",0,1,2,8,"3","0|3","4","3|4|5","0|2|3|4|5|6|7|8|9","0|1",48,5,1,302518838,904070195,16,302529955,915094483,136,1184.875,302518669,904070003,16,1.19670050761421,4.8489847715736,788,394103193,903086583,5,"2010-01-16",302518675,904070007,16
"43",3165,"WINNT Windows NT 6.0","4.0b7","1.0.3",19,6,0,"1",0,1,3,9,NA,"0|1|3","7","1|4|6","0|2|3|9","0|1",97.3571428571429,3,1,399931341,922638170,14,401555394,925558688,84,37798.0714285714,399930576,922637575,14,0.994623655913978,2.97688172043011,1860,630705548,920771039,3,"2008-03-17",399930649,922637591,14
"44",3264,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",7,6,1,"1",0,1,3,10,"3","0|1|3","1","0|3|4|6","2|6|8|9|10","1",82,6,1,251079836,840285593,19,315359939,842092528,88,46599.9473684211,251079733,840285455,19,1.05783582089552,2.62686567164179,536,563100896,846532569,2,"2007-11-17",251079741,840285466,19
"45",3440,"WINNT Windows NT 5.1","4.0b6","1.0.3",10,6,1,"1",0,0,2,8,"0|1|2","0|1|2","7","0|2|3|4|5|6","1|2|3|7|8|11|12","0|1|2|3|4|5",103.875,14,1,329418311,917145852,16,329554447,854768754,98,1423.6875,329417665,917145681,16,0.984962406015038,3.19172932330827,798,409733579,826639413,3,"2010-10-27",329417804,917145765,16
"46",3506,"WINNT Windows NT 6.1","4.0b6","1.0.3",6,6,1,"1",0,3,2,9,"0","0|1","2","1|3|4","0|1|2|6|7|9","1",830.625,95.75,3,297979835,844402961,24,298350120,857676571,364,14660.5833333333,297978285,844400972,24,1.1372334609076,4.3728813559322,1829,369160995,857985232,12,"2010-09-12",297978290,844400988,24
"47",3507,"WINNT Windows NT 6.1","3.6.12","1.0.1",27,5,1,"1",0,1,3,10,"0|1|2|3","0|1|2","7","0|2|4|5|6","0|1|2|3|5|9","0|1|2",62.6538461538462,56.1153846153846,4,300967978,839926415,26,589290377,591073420,2,21291.1923076923,300967900,839926346,26,1.04509283819629,9.37267904509284,1508,551805115,587785887,2,"2010-04-01",300967912,839926354,26
"48",3543,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",12,5,0,"1",0,1,4,10,"0|3","0","7","5|6","0|1|4|9","0|4",65.421686746988,2,1,319251903,832611820,83,319435016,833054108,241,506.927710843374,319248715,832606457,83,0.984090909090909,4.15,880,668893904,756611495,4,"2010-06-11",319248911,832607495,83
"49",3610,"WINNT Windows NT 5.1","4.0b6","1.0.3",8,5,1,"1",0,1,4,9,"3","0|1|3","0","1|3|4|5","0|2|3|6|8|9","1",18,8,1,283311406,830638873,31,283514279,830799886,179,17514.8064516129,283310419,830638717,31,1.00411861614498,3.97528830313015,1214,828868937,828868937,1,"2010-04-01",283311037,830638856,31
"50",3798,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",12,5,1,"1",0,2,6,9,"2|3","0|1|3","4","0|3|4|5|6","0|2|3|6|9","2",17,1,1,280144266,767047371,13,280179963,834842433,26,10214,280142190,767044360,13,0.996339677891654,7.15373352855051,1366,769852372,769852372,1,"2010-01-16",280142268,767044602,13
"51",3833,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",7,6,0,NA,0,1,4,8,NA,"0|1|2","7","1|2|4|5|6","1|2|5|6","0|1|3|4",117.884615384615,13.8846153846154,1,301253888,840234086,26,303377538,855058378,166,47505.8461538462,301253818,840233830,26,1.2436627004656,5.11174340403518,1933,313723496,838705214,12,"2010-03-16",301253868,840233862,26
"52",3844,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,6,1,"1",NA,2,6,7,"3","0|1","7","1|3|4|5|6","0|2|3|4|5","0",20.5714285714286,2,1,282013241,816658657,35,282206147,816568517,109,70.6,282011445,816655235,35,1.03728813559322,4.1774011299435,885,536726753,802200163,3,"2010-09-18",282011563,816655242,35
"53",3933,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",9,4,1,"1",0,0,4,10,"0","0","7","4","0|3|8","1",20.75,2,1,347921196,776002313,8,347965697,776599465,101,3488.125,347917021,775999201,8,1.01785714285714,1.83928571428571,168,524263896,524263896,1,"2009-08-24",347917183,775999385,8
"54",3988,"WINNT Windows NT 5.1","4.0b6","1.0.3",5,4,0,"0",0,2,3,9,NA,"0|1","7","0|1|6","0|2|8","1|3",116,10,1,326545755,913734251,9,395157681,846380351,4,6544.66666666667,326544639,913733644,9,2.14618973561431,10.4074650077761,643,747514362,747514362,1,"2009-08-24",326545039,913733661,9
"55",3999,"WINNT Windows NT 6.1","4.0b6","1.0.3",13,5,1,"1",0,2,5,10,"0|3","0|1|3","2","0|4|5|6","0|2|3|7|8|9","1|5",128.368421052632,12.0263157894737,1,365743688,838038741,38,366525643,709218796,17,25209.1578947368,365743103,838037861,38,0.992359121298949,3.11843361986628,1047,374275895,374275895,1,"2009-07-30",365743531,838038518,38
"56",4016,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",3,5,1,"1",0,0,2,8,"0|2","0|2|3","4","2|3|6","1|9|12",NA,60.3513513513514,6.64864864864865,2,292058207,746189760,37,292455235,747641806,85,923.027027027027,292056822,746188059,37,1.04474708171206,6.21011673151751,514,309770380,673387659,3,"2010-10-06",292056858,746188172,37
"57",4042,"WINNT Windows NT 6.1","4.0b7","1.0.3",10,6,1,"1",0,1,5,9,"0","0|1|3","1","1|3|4|5","0|2|3|5|6|7|8|10|11|12","1|2",226,17,2,326049862,831372048,10,341492035,852067317,187,63486.9,326048783,831370024,10,0.988518943742824,12.2319173363949,871,600641281,861098447,2,"2008-03-17",326049029,831370217,10
"58",4125,"WINNT Windows NT 6.1","4.0b6","1.0.3",17,4,1,"4",0,0,2,10,"2","0|2","4","4|5|6","0|1|3|9","0",222.25,49,2,300642304,762039915,16,301093905,762618834,102,29475.4375,300640807,762036099,16,1.09726443768997,3.16312056737589,987,672497651,672497651,1,"2005-04-17",300640902,762036316,16
"59",4218,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",24,6,1,"1",0,3,3,8,"0|3","0","0","1|4|5|6","2|3|5|6","1",557,110,4,258914394,835433193,28,344125425,837634875,24,21491.4642857143,258912875,835432872,28,0.970491803278689,1.94426229508197,305,344899113,778630792,7,"2007-12-30",258912971,835432976,28
"60",4229,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",19,6,1,"1",0,1,6,10,"0|3","0|1|2","1","0|1|2|4|5|6","0|1|2|3|4|7|8|9","1|3",121.268292682927,1,1,304908572,895265766,41,319229839,896310386,119,27.9756097560976,304902618,895261548,41,0.9874715261959,5.90888382687927,878,389682459,735425669,7,"2009-07-30",304902869,895261707,41
"61",4313,"WINNT Windows NT 6.0","4.0b6","1.0.3",6,3,1,"1",0,4,2,8,"3","0|1","7","1|3|4|5","0|2|8","0|2",309.285714285714,30,2,247984169,841002178,28,248162394,841681106,171,44967.9642857143,247982524,841000952,28,1.3386524822695,3.50886524822695,564,420513966,420513966,1,"2008-03-18",247982815,841000999,28
"62",4425,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",24,6,1,"1",0,2,4,8,"2|3","0","7","6","0|1|2|4|5|7|8|9","0|1|2",4217.8,161,4,269955436,840872690,40,270344698,840967435,334,27361.075,269954348,840868359,40,1.6537037037037,73.0171957671958,3780,458263781,458263781,1,"2007-11-04",269954455,840868528,40
"63",4601,"WINNT Windows NT 6.0; WOW64","4.0b6","1.0.3",7,6,0,NA,0,5,2,4,NA,"0","7",NA,NA,NA,174.428571428571,4,1,247186252,847958043,21,482023547,836633330,13,313.380952380952,247186119,847957884,21,0.912087912087912,1.43406593406593,182,835687643,835687643,1,"2009-06-12",247186126,847957896,21
"64",4739,"WINNT Windows NT 6.0; WOW64","4.0b6","1.0.3",9,3,1,"1",0,0,3,8,"0","0","7","6","0|1|3|9","1",55,4,2,246946762,781302741,53,247950658,781558871,72,15737.1698113208,246943349,781300086,53,0.973158195316962,2.48829240434038,1751,342234235,414050271,3,"2008-10-30",246943364,781300179,53
"65",4759,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,6,1,"1",0,1,4,10,"3","0|1|3","2","0|1|3|4|5|6","0|1|2|3|4|6|8|9|10","0|1|2|3|4|5",67.09375,6,2,273885812,845870990,32,274084605,847708474,121,18543.0625,273884982,845867790,32,1.04395604395604,2.43589743589744,546,318664183,842753860,7,"2010-04-01",273885045,845867796,32
"66",4762,"WINNT Windows NT 6.1","4.0b6","1.0.3",12,5,0,NA,0,0,1,8,NA,"0|3","1","4|5|6","3|4","0|5",341.25,51,2,403516811,925655504,20,404583742,925453672,265,20489.5,403514729,925653675,20,1.02320316921336,8.27617430673458,1767,647089762,759821826,2,"2009-09-10",403514834,925653686,20
"67",4800,"WINNT Windows NT 6.1","4.0b6","1.0.3",4,5,1,"1",0,1,2,5,"3","0|1","7","0|1|6","0|2|7|8|9","1|3",22,6,2,444148877,818364278,22,444228188,773800869,5,4972.27272727273,444146505,818361305,22,1.19364161849711,4.6878612716763,346,696585449,696585449,1,"2008-01-01",444146579,818361310,22
"68",4832,"WINNT Windows NT 6.1; WOW64","4.0b7","1.0.3",2,6,0,"0",0,1,3,9,NA,"0|3","7","0|3|4|6","0|1|2|6|8|9|12","1|<freeform-text removed>",553,261,2,313453506,840102932,29,313500398,872750120,420,1306.13793103448,313449884,840101549,29,1.02288329519451,2.64759725400458,437,451997979,451997979,1,"2009-09-03",313450117,840101921,29
"69",4898,"WINNT Windows NT 5.1","4.0b7","1.0.3",27,4,1,"2",0,1,5,8,"0","0","7","1|2|4|5|6","0|1|2|3|7|8|9","1|5",97.0967741935484,4,1,374757514,923468515,31,390619423,914816857,34,5494.58064516129,374733134,923462392,31,1.07125700560448,3.40992794235388,1249,551428811,808336804,3,"2008-03-17",374734504,923462525,31
"70",4937,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",9,6,1,"1",0,1,5,10,"0|2","0|1|2","7","0|1|2|3|4|5|6","0|1|3|7|8","3|4",124.19512195122,2,1,254691431,832214898,41,254980261,832301109,75,49350.1219512195,254688368,832212398,41,0.96685878962536,4.29682997118156,694,286908863,829342603,10,"2010-04-01",254688397,832212449,41
"71",4985,"WINNT Windows NT 5.1","4.0b6","1.0.3",22,6,0,"0",0,4,3,7,NA,"0|1","7","1|4|6","0|2|8|12","1|2|3",379,24,4,317450647,833594313,15,322977016,669888099,12,9994.8,317446293,833589603,15,1.05970149253731,8.59914712153518,469,335109385,679886820,4,"2006-10-12",317446687,833590014,15
"72",5099,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",20,6,1,"1",0,1,3,7,"0","0|3|<freeform-text removed>","6","3|4|6","0|1|2|3|9","0|1|2",209,29,2,378882659,925021354,23,400342688,924262167,468,6203.52173913043,378881927,925021205,23,0.987075928917609,21.8933764135703,619,668961966,670433423,2,"2010-01-25",378881954,925021220,23
"73",5244,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",16,5,1,"1",0,1,2,8,"2","0|1|2","7","0|1|2|4|6","1|2|3|8|9","0|<freeform-text removed>",346.470588235294,1,1,248110846,830914589,17,248134975,760063298,255,45782.1176470588,248107680,830910787,17,1.0123595505618,4.14157303370787,890,333850812,753767665,3,"2010-03-16",248107783,830910814,17
"74",5315,"WINNT Windows NT 6.1; WOW64","4.0b6","1.0.3",4,6,0,NA,0,2,2,9,NA,"0|1|3","0","0|5|6","1|3|7|9","2",140,42,2,277614628,851447139,25,419530371,851608881,32,8142.96,277610179,851442980,25,1.0510752688172,4.2741935483871,372,429523134,666942939,2,"2010-07-23",277610200,851442996,25
